Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
anhui,11.163,10.522,10576.136,9.187,9.049,9.186,8.976,169.869,9.128,9.867
beijing,1.438,1.498,1687.437,1.510,1.619,1.732,1.804,33.994,1.973,1.942
chongqing,4.857,4.649,4903.360,4.0001,4.036,3.824,3.767,73.101,3.949,4.154
fujian,5.764,5.481,5705.698,5.009,5.229,5.249,5.527,104.768,5.940,5.956
gansu,4.967,4.899,4.420,4644135,3.697,3.560,3.603,3.5,69.226,3.811
guangdong,16.386,15.835,14.734,17604.030,15.466,14.471,14.653,14.576,269.349,15.472
guanxi,9.517,9.453,9.122,9990.821,8.716,8.824,8.361,8.591,169.026,8.989
guizhou,8.888,8.377,8778.242,7.161,6.678,6.385,6.398,123.464,6.663,6.305
hainan,1.65,1.553,1715.343,1.493,1.412,1.385,1.420,28.058,1.520,1.514
hebei,10.115,10.274,12093038,10.89,10.912,10.772,11.347,210.653,11.584,11.152
henan,16.848,16.089,19747.318,16.632,16.129,16.133,16.297,309.790,16.659,16.476
hubei,7.591,7.357,7963.808,7.037,6.792,7.153,7.669,138.022,7.645,7.701
hunan,9.611,9.784,11576.515,10.087,10.329,10.088,10.176,194.440,10.431,10.427
jiangsu,9.515,9.357,10233.484,8.765,8.701,8.733,9.041,167.898,9.199,8.889
jiangxi,8.995,8.622,9762.233,8.234,8.085,7.353,7.776,152.541,8.187,8.245
jilin,3.029,2.963,3291.515,2.989,2.810,2.669,2.775,51.351,2.903,2.725
liaoning,4.729,4.243,4996.9,4.254,3.802,3.774,3.719,72.220,3.9,3.65
neimenggu,3.251,3.059,3476.431,2.9,2.878,2.831,2.803,51.002,2.705,2.824
ningxia,1.266,1.176,1348.030,1.143,1.154,1.093,1.077,20.862,1.085,1.131
shandong,13.245,3.132,15074.209,12.785,13.041,12.432,12.752,250.337,14.14,14.588
shanghai,1.332,1.271,1982.859,1.662,1.681,1.866,2.024,24.935,1.953,1.972
shanxi,5.602,5.241,6106.016,4.961,4.732,4.710,4.468,85.703,4.747,4.767
sichuan,12.794,12.472,13647.123,11.141,10.937,11.073,10.893,202.831,11.086,10.860
tianjin,1.087,1.054,1267.568,1.233,1.383,1.359,1.350,24.253,1.421,1.443
xinjiang,3.978,4.024,4461.802,3.764,3.818,3.893,4.008,80.217,4.541,4.624
yunnan,9.063,8.7,9526.792,7.744,7.603,7.745,7.374,141.197,7.839,7.518
zhejiang,6.435,6.298,7189.075,5.885,5.638,5.417,5.467,111.031,6.063,5.669
