Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,11.115,12.15303,14.11358,16.25193,17.8794,19.80081,21.33083,23.01459,25.66913,28.01494
tianjin,6.71901,7.52185,9.22446,1.30728,12.89388,14.44201,15.72693,16.53819,17.88539,18.54919
hebei,16.01197,17.23548,20.39426,24.51576,26.57501,28.44295,29.42115,29.8061,32.07045,34.01632
shanxi,7.3154,7.35831,9.20086,11.23755,12.11283,12.66525,12.76149,12.76649,13.05041,15.52842
neimenggu,8.4962,9.74025,1.672,14.35988,15.88058,16.9165,17.77019,17.83151,18.1281,16.09621
liaoning,13.66858,15.21249,18.45727,22.2267,24.84643,27.21322,28.62658,28.66902,22.469,23.40924
jilin,6.4261,7.27875,8.66758,10.56883,11.93924,13.0464,13.80314,14.06313,14.7768,14.94453
shanghai,14.06986,15.04645,17.16598,19.19569,20.18172,21.81815,23.5677,25.12345,28.17865,30.63299
jiangsu,30.98198,34.4573,41.42548,49.11027,54.05822,59.75337,65.08832,70.11638,77.38828,85.86976
zhejiang,21.46269,22.99035,27.72231,32.31885,34.66533,37.75658,40.17303,42.8649,47.25136,51.76826
anhui,8.85166,10.06282,12.35933,15.30065,1.21205,19.22934,20.84875,22.00563,24.40762,27.018
fujian,10.82301,12.23653,14.73712,17.56018,19.70178,21.86849,24.05576,25.97982,28.1058,32.18209
jiangxi,6.97105,7.65518,9.45126,11.70282,12.9488,14.41019,15.71463,16.72378,18.499,20.00631
shandong,30.93328,33.89665,39.16992,45.36185,50.01324,55.23032,59.42659,63.00233,68.02449,72.63415
henan,18.01853,19.48046,23.09336,26.93103,29.59931,32.1913,34.93824,37.00216,40.47179,44.55283
hubei,113.22889,1.29611,15.96761,19.63226,22.25045,24.79183,27.37922,29.55019,32.66538,35.47809
hunan,11.555,13.05969,16.03796,19.66956,22.15423,24.62167,27.03732,28.90221,31.55137,33.90296
guangdong,36.79671,39.48256,46.01306,53.21056,57.06792,62.47479,67.80985,72.81255,80.85491,89.70523
guanxi,7.021,7.75916,9.56985,11.72087,13.0351,14.4499,15.67289,16.80312,18.31764,18.52326
hainan,1.50306,1.65421,2.0645,2.52266,2.85554,3.17756,3.50072,3.70376,4.0532,4.46254
chongqing,5.79366,6.53001,7.92558,10.01137,11.4096,12.7326,14.2626,15.71727,17.74059,19.42473
sichuan,12.60123,14.15128,17.18548,21.02668,23.8728,26.39207,28.53666,30.0531,32.93454,36.98022
guizhou,3.56156,3.91268,4.60216,5.70184,6.8522,8.08686,9.26639,10.50256,11.77673,13.54083
yunnan,5.69212,6.16975,7.22418,8.89312,10.30947,11.83231,12.81459,13.61917,14.78842,16.37634
gansu,3.16682,3.38756,4.12075,5.02037,5.6502,6.33069,6.83683,6.79032,7.20037,7.4599
ningxia,1.20392,1.35331,1.68965,2.10221,2.34129,2.57757,2.7521,2.91177,3.16859,3.44356
xinjiang,4.18321,4.27705,5.43747,6.61005,7.50531,8.44384,9.27346,9.3248,9.6497,10.88196
