Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,103.38,104.27,106.75,104.09,105.18,107.62,102.24,109.45,85,102.65
tianjin,97.21,102.38,114.52,98.83,98.61,98.87,100.34,120.43,114.39,111.10
hebei,103.96,103.60,102.84,107.74,104.60,105.5,104.91,102.15,104.61,103.14
shanxi,102.93,104.22,105.56,104.93,104.46,105.52,103.30,107.49,106.04,108.34
neimenggu,105.21,105.01,108.05,98.85,104.44,107.91,103.90,104.32,102.05,100.79
liaoning,100.92,101.36,102.54,101.32,100.53,101.97,102.74,100.45,101.86,100.12
jilin,102.37,104.89,102.67,104.48,103.47,106.23,103.65,102.02,103.41,102.42
shanghai,100.18,98.95,106.18,113.09,108.78,106.24,106.7,108.37,105.87,103.54
jiangsu,95.07,97.30,101.54,100.86,98.90,99.94,101.66,103.01,101.44,103.02
zhejiang,103.62,101.93,105.69,95.77,104.58,107.54,109.98,107.37,108.56,111.48
anhui,105.33,106.62,103.39,102.70,108.78,104.11,98.6,104.9,105.52,104.92
fujian,101.24,99.99,105.96,97.37,101.89,107.89,108.56,105.71,103.8,104.12
jiangxi,104.56,104.77,107.46,111.20,107.64,108.52,109.27,106.12,108.45,108.28
shangdong,100.13,102.30,102.33,100.74,102.14,103.87,102.65,104.45,104.14,101.68
henan,102.27,102.53,102.06,107.82,102.26,101.9,102.33,103.99,103.89,104.49
hubei,102.88,105.15,105.56,105.67,103.83,103.33,103.9,104.12,105.49,106.34
hunan,107.10,104.89,105.81,105.98,106.57,105.7,105.29,102.98,104.51,101.68
guangdong,105.09,102.23,109.00,115.23,111.94,110.84,118.62,113.51,113.02,113.46
guangxi,109.21,110.76,108.26,109.97,107.72,109.44,108.36,105.57,108.43,109.2
hainan,109.81,114.17,110.90,108.28,113.60,111.71,115.37,110.47,111.46,110.02
chongqing,101.67,100.66,102.43,104.03,101.37,103.96,105.88,100.60,103.37,99.57
sichuan,102.64,100.93,103.14,104.43,109.96,104.02,98.23,100.89,99.73,101.93
guizhou,108.21,107.03,106.89,112.01,105.66,107.05,104.68,107.12,106.65,107.23
yunnan,108.30,108.00,107.84,104.10,105.88,107.56,105.4,104.98,102.16,107.41
gansu,101.61,101.21,107.40,102.61,106.35,103.85,101.09,109.29,105.8,105.93
ningxia,103.71,104.24,105.09,111.07,104.52,104.32,105.8,106.16,106.7,96.91
xinjiang,103.14,102.61,105.34,105.31,103.97,105.25,104.5,104.12,104.48,102.12
