Sex ,Birthday,AgeTrafficked,YearTrafficked,OriginProvince,DestinationProvince
female,,3d,2008,hebei,hebei
male,,,2008,hebei,hebei
male,20070301,1.75y,2008,hebei,hebei
male,,1m,2008,yunan,hebei
male,,7m,2008,hebei,hebei
female,,15d,2008,hebei,shanxi
male,20080110,10d,2008,shanxi,shandong
male,,10d,2008,shanxi,shandong
male,,10d,2008,shanxi,shandong
male,,20d,2008,shanxi,shandong
male,,20d,2008,shanxi,shandong
male,,20d,2008,shanxi,shandong
female,,0.5y,2008,yunan,hebei
male,,0.5y,2008,jiangsu,jiangsu
male,,0.5y,2008,jiangsu,jiangsu
female,,0.5y,2008,yunan,hebei
male,,0.5y,2008,yunan,jiangsu
female,,,2008,zhejiang,jiangsu
female,,,2008,zhejiang,jiangsu
female,,,2008,zhejiang,jiangsu
female,,,2008,zhejiang,jiangsu
female,,,2008,yunan,jiangsu
male,,,2008,yunan,shandong
male,,1d,2008,sichuan,shandong
female,,1d,2008,sichuan,shandong
male,,,2008,guizhou,jiangsu
male,,1m,2008,anhui,anhui
male,,5d,2008,hubei,anhui
male,,,2008,fujian,fujian
male,20080623,4m,2008,henan,fujian
male,,,2008,yunan,fujian
male,,,2008,yunan,fujian
male,,,2008,yunan,fujian
male,20080630,1m,2008,jiangxi,jiangxi
male,20080401,1d,2008,shandong,shandong
female,,0.5y,2008,shandong,shandong
female,,0.5y,2008,shandong,shandong
female,,0.5y,2008,zhejiang,shandong
female,,0.5y,2008,shandong,shandong
female,,1m,2008,shandong,shandong
female,,5m,2008,shandong,shandong
male,20080602,8d,2008,shandong,shandong
male,,2d,2008,shandong,shandong
female,,25d,2008,shandong,shandong
male,,14m,2008,shandong,shandong
male,,,2008,shandong,henan
female,,0.5y,2008,shandong,shandong
female,20080925,5d,2008,guangdong,henan
female,20080816,5d,2008,guangdong,henan
female,20080517,3m,2008,guangdong,henan
female,20080922,5d,2008,guangdong,henan
female,,0.5y,2008,guangdong,henan
female,,0.5y,2008,guangdong,henan
male,20080111,0.1d,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,1m,2008,yunan,henan
female,,1m,2008,yunan,henan
male,,1m,2008,henan,henan
male,,0.5y,2008,henan,henan
male,,0.5y,2008,henan,henan
male,,0.5y,2008,henan,henan
male,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,1m,2008,henan,henan
male,,2d,2008,henan,henan
female,,0.5y,2008,henan,henan
male,,0.5y,2008,shanxi,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,1m,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,1m,2008,henan,henan
female,20080901,2m,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,henan,henan
female,20080901,2m,2008,henan,henan
female,,0.5y,2008,henan,henan
female,,0.5y,2008,guizhou,henan
female,,0.5y,2008,guizhou,henan
female,,0.5y,2008,guizhou,henan
female,,0.5y,2008,guizhou,henan
female,,3.5y,2008,guizhou,henan
