Region,Total_Number_of_Orphans,NumberOfOrphans_institutionalized,NumberOfOrphans_dispersed,TotalNumberofChildrenAdopted,numberOfChildrenAdoptedbyChineseCitizens,numberOfChildrenAdoptedbyForeigners,childrenRaisedbySocialWelfareInstitutions
National,409840,86025,323815,18820,16592,2228,9115
Beijing,2149,1582,567,215,177,38,44
Tianjin,815,538,277,44,22,22,31
Hebei,1674,2122,14622,277,250,27,112
Shanxi,12228,3206,9022,229,95,134,180
Inner Mongolia,4848,1158,3690,246,178,68,87
Liaoning,6830,3037,3793,178,155,23,77
Jilin,4963,1566,3397,24,10,14,24
Heilongjiang,6725,1280,5445,106,84,22,24
Shanghai,1670,1581,89,212,152,60,111
Jiangsu,15301,3024,12277,1637,1515,122,809
Zhejiang,3851,2039,1812,3174,3087,87,2180
Anhui,26855,2836,24019,593,534,59,253
Fujian,4660,1646,3014,613,554,59,253
Jiangxi,22688,5444,17244,183,88,95,145
Shandong,16072,2392,13680,1662,1537,125,498
Henan,24488,4951,19537,627,288,339,460
Hubei,10464,1963,8501,735,676,59,237
Hunan,33993,4325,29668,591,530,61,287
Guangdong,29408,8146,21262,1257,953,304,842
Guangxi,20264,2168,18096,2400,2290,110,1181
Hainan,1355,288,67,107,102,5,91
Chongqing,4246,1062,3184,258,236,22,91
Sichuan,26631,3687,22944,1027,983,44,329
Guizhou,17908,2528,15380,216,157,59,106
Yunnan,23685,1878,21807,1492,1422,70,408
Tibet,5537,5214,323,30,30,,6
Shaanxi,9822,2415,7407,367,248,119,161
Gansu,14879,2215,12664,91,50,41,62
Qinghai,13754,1545,12209,45,36,9,8
Ningxia,6270,423,5847,25,6,19,24
Xinjiang,20737,9766,10971,159,147,12,15
