Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,1771,1860,1962,2019,2069,2115,2152,2171,2173,2171
tianjin,1176,1228,1299,1355,1413,1472,1517,1547,1562,1557
hebei,6989,7034,7194,7241,7288,7333,7384,7425,7470,7520
shanxi,3411,3427,3574,3593,3611,3630,3648,3664,382,3702
neimenggu,2444,2458,2472,2482,2490,2498,2505,2511,2520,2529
liaoning,4315,4341,4375,4383,4389,4390,4391,4382,4378,4369
jilin,2734,2740,2747,2749,2750,2751,2752,2753,2733,2717
shanghai,2141,2210,2303,2347,2380,2415,2426,2415,2420,2418
jiangsu,7762,7810,7869,7899,7920,7939,7960,7976,7999,8029
zhejiang,5212,5276,5447,5463,5477,5498,5508,5539,5590,5657
anhui,6135,6131,5957,5968,5968,6030,6083,6144,6196,6255
fujian,3639,3666,3693,3720,3748,3774,3806,3839,3874,3911
jiangxi,4400,4432,4462,4488,4504,4522,4542,4566,4592,4622
shandong,9417,9470,9588,9637,9685,9733,9789,9847,9947,10006
henan,9429,9487,9405,9388,9406,9413,9436,9480,9532,9559
hubei,5711,5720,5728,5758,5779,5799,5816,5852,5,5902
hunan,6380,6406,6570,6596,6639,6691,6737,6783,6822,6860
guangdong,9893,10130,10441,10505,10594,10644,10724,10849,10999,11169
guanxi,4816,4856,4610,4645,4682,4719,4754,4796,4838,4885
hainan,854,864,869,877,887,895,903,911,917,926
chongqing,2839,2859,2885,2919,2945,2970,2991,3017,3048,3075
sichuan,8138,8185,8045,8050,8076,8107,8140,8204,8262,8302
guizhou,3596,3537,3479,3469,3484,3502,3508,3530,3555,3580
yunnan,4543,4571,4602,4631,4659,4687,4714,4742,4771,4801
gansu,2551,2555,2560,2564,2578,2582,2591,2600,2619,2626
ningxia,618,625,633,639,647,654,662,668,675,682
xinjiang,2131,2159,2185,2209,2233,2264,2298,2360,2398,2445
