Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
anhui,0.293,0.301,0.269,0.331,0.313,0.324,0.315,0.309,0.304,0.29
beijing,0.103,0.082,0.077,0.081,0.081,0.075,0.074,0.078,0.080,0.081
chongqing,0.13,0.134,0.13,0.13,0.124,0.121,0.134,0.143,0.157,0.143
fujian,0.15,0.152,0.145,0.146,0.145,0.147,0.143,0.154,0.163,0.171
gansu,,,,,,,,,,
guangdong,0.381,0.395,0.393,0.383,0.396,0.380,0.368,0.370,0.380,0.371
guanxi,0.188,0.191,0.191,0.188,0.189,0.18,0.187,0.181,0.181,0.167
guizhou,0.125,0.123,0.122,0.125,0.126,0.137,0.141,0.145,0.148,0.151
hainan,0.056,0.053,0.048,0.029,0.036,0.039,0.043,0.048,0.051,0.055
hebei,0.322,0.345,0.351,0.360,0.368,0.372,0.383,0.394,0.397,0.399
henan,0.365,0.385,0.382,0.384,0.383,0.402,0.400,0.425,0.436,0.407
hubei,0.551,0.553,0.557,0.551,0.423,0.402,0.379,0.334,0.329,0.371
hunan,0.470,0.478,0.432,0.431,0.441,0.456,0.473,0.451,0.449,0.445
jiangsu,0.411,0.407,0.406,0.414,0.405,0.376,0.366,0.360,0.352,0.347
jiangxi,0.260,0.273,0.263,0.246,0.257,0.274,0.294,0.299,0.313,0.323
jilin,0.243,0.234,0.227,0.222,0.223,0.226,0.232,0.239,0.257,0.268
liaoning,0.417,0.416,0.389,0.394,0.381,0.396,0.410,0.462,0.473,0.427
neimenggu,0.199,0.201,0.208,0.218,0.231,0.238,0.248,0.259,0.267,0.271
ningxia,,,,,,,,,,
shandong,0.45,0.451,0.445,0.451,0.434,0.422,0.431,0.437,0.458,0.457
shanghai,0.266,0.279,0.276,0.270,0.253,0.256,0.248,0.243,0.221,0.194
shanxi,0.175,0.216,0.204,0.211,0.210,0.211,0.245,0.256,0.261,0.265
sichuan,0.345,0.379,0.363,0.346,0.369,0.407,0.429,0.544,0.546,0.558
tianjin,0.130,0.15,0.161,0.201,0.204,0.217,0.225,0.251,0.258,0.26
Xinjiang,0.019,0.020,0.021,0.01,0.016,0.016,0.017,0.018,0.018,0.021
yunnan,0.148,0.154,0.157,0.16,0.174,0.181,0.192,0.195,0.201,0.209
zhejiang,0.307,0.307,0.311,0.317,0.334,0.334,0.331,0.337,0.339,0.338
