Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,6389.31,7326.19,8229.19,9578.85,10843.48,12034.9,14260.2,15491.1,16637.5,18222.8
tianjin,4064.95,4408.33,5261.97,6829.24,7922.26,9091.5,9941.1,11031.4,12048.1,13138.7
hebei,1979.52,2251.01,2653.42,3423.95,4005.28,5236.7,5133.3,5811.9,6263.2,6840.9
shanxi,1713.55,1789.93,2108.60,2684.87,3175.50,4041.1,4569.6,4921.8,5204.4,5462.4
neimonggu,806.48,900.42,1036.78,1310.86,1459.05,1694.6,2070.8,2249.7,2448.9,2649.3
liaoning,2035.53,2239.75,2649.97,3179.75,3630.24,4209.4,4362.3,4730.1,5071.2,5423.1
jilin,810.17,869.02,1072.14,1469.19,1792.02,1813.2,1937.6,2097.4,2363.1,3018.3
shanghai,8108.32,8671.00,9605.73,10493.03,11477.71,12239.4,16177,17482.5,18947.9,20289.2
jiangsu,3895.50,4238.54,4896.39,5969.02,6775.89,7608.5,7170.3,8014.9,8731.7,9513
zhejiang,4587.44,5090.15,5822.48,6721.32,7678.22,9204.3,11772.5,13086.9,14204.3,15457.1
anhui,1737.84,1882.42,2203.94,2723.17,3243.47,3733.5,3554.9,3983.1,4291.4,4624
fujian,2421.46,2678.35,3094.60,3889.54,4474.49,5193.9,5655.2,6187,685.2,7415.9
jiangxi,1842.36,2018.98,2394.62,2994.49,3532.72,4422.1,3937.4,4393,4954.7,5609.2
shangdong,2263.46,2496.57,2958.06,3715.25,4383.22,5127.2,4713.1,5139.5,5569.1,6068.9
henan,1499.93,1621.75,1943.86,2523.77,2989.36,3581.6,3260.2,3728.4,4228,4770.4
hubei,1742.33,1900.54,2186.11,2703.05,3189.84,3868.2,3298.6,3682.9,4024,4389.6
hunan,1990.52,2234.01,2655.59,3240.81,3847.59,4595.6,4088.1,4515.2,4946.2,5340.8
guangdong,3684.47,4089.69,4799.52,5854.68,6804.43,7072.4,6220.3,6724,7255.3,7854.6
guangxi,1283.39,1465.22,1707.18,1820.37,2245.95,2712.3,2335.4,2549.1,2848.1,3242.4
hainan,808.63,972.68,1261.86,2004.63,2475.57,3001.5,3596,4251.1,4764.9,5167.5
chongqing,1764.64,1919.68,2335.23,2894.53,3400.77,4089.2,3196.5,3583.4,3965.6,4394.5
sichuan,1620.40,1821.37,2248.18,2652.46,3088.86,3542.8,3156.5,3463.5,3737.6,4016.1
guizhou,1002.68,1074.32,1303.85,1713.52,1977.73,2572.6,2521.5,2897.1,3211,3635.7
yunnan,617.47,684.95,930.00,1138.55,1435.87,1729.2,1975.8,2315.5,2553.9,2794.9
gansu,867.98,994.94,1199.45,1561.97,1787.72,2203.4,1755.8,1974.9,2125,2275.4
ningxia,1260.04,1518.94,1788.28,2164.24,2510.53,2878.4,3391,3614.3,3906.1,4224
xinjiang,422.82,461.49,556.26,804.73,1008.02,1311.8,1848,2131.4,2527.1,2796.5
