pl_name,pl_orbsmax,pl_dens,st_met,st_lum,st_age
Wolf 327 b,0.01,7.24,-0.17,-1.62986,4.1
TOI-561 b,0.0106,4.8,-0.41,-0.28233,10
TOI-1798.02,0.0107,11.17,0.073,-0.41567,2.6
TOI-1444 b,0.0116,6.84,0.146,-0.17587,3.8
LTT 3780 b,0.01195,5.8,0.06,-1.78252,3.1
TOI-1807 b,0.0122,3.98,0.044,-0.53313,2.1
GJ 806 b,0.01406,4.4,-0.28,-1.58528,5
GJ 486 b,0.01713,6.79,-0.15,-1.9165,4
TOI-3261 b,0.01714,3,0.138,-0.36653,6.5
EPIC 201595106 b,0.0177,11.1,0.01,-0.04915,6
WASP-132 c,0.01833,5.47,0.15,-0.57512,7.2
TOI-1937 A b,0.01932,1.28,0.196,0.0799,3.6
HD 213885 b,0.02012,9.15,-0.04,0.13862,3.8
KELT-16 b,0.02044,1.2,-0.002,0.4014,3.1
TOI-238 b,0.02118,6.8,-0.114,-0.47083,4.3
TOI-1411 b,0.02122,6.36,0.012,-1.01323,9.6
TOI-824 b,0.02177,4.03,-0.092,-0.70997,7.5
L 98-59 b,0.0223,4.3,-0.46,-1.91364,4.94
TOI-2196 b,0.02234,3.31,0.14,-0.00436,4.5
HATS-2 b,0.023,1.05,0.15,-0.268,9.7
HAT-P-23 b,0.0232,1.01,0.15,0.199,4
WASP-77 A b,0.02335,1.115,-0.1,-0.12901,6.2
TOI-1696 b,0.0235,9.44,0.19,-2.12494,7.1
HATS-24 b,0.0238,1.03,-0.229,0.19,3.7
GJ 3929 b,0.0252,7.3,-0.02,-1.96257,7.1
TOI-132 b,0.026,3.08,0.16,-0.22185,6.34
TOI-178 b,0.02607,5.4,-0.23,-0.87943,7.1
LHS 1140 c,0.027,5.1,-0.15,-2.42022,5
TOI-564 b,0.02734,1.7,0.143,0.03262,7.3
GJ 436 b,0.02872,1.69,-0.03,-1.585,6
TOI-2015 b,0.029322,1.4,-0.31,-1.49214,5.5
HD 260655 b,0.02933,6.2,-0.43,-1.43997,5
HAT-P-61 b,0.0301,1.8,0.194,-0.1152,2.6
TOI-1836 c,0.03089,3,-0.136,0.56984,3.2
L 98-59 c,0.0309,4.7,-0.46,-1.91364,4.94
TOI-3331 A b,0.03144,1.82,0.148,-0.09313,2.1
K2-291 b,0.03261,8.84,0.08,-0.16622,3.72
TOI-1117 b,0.033,3.3,0.136,-0.4437,4.42
K2-265 b,0.03359,7.9,0.033,-0.18243,7.8
TOI-2977 b,0.03386,1.28,0.013,0.03703,9.8
TOI-5800 b,0.0345,3.16,0.02,-0.50864,2.5
TOI-1260 b,0.0367,3.35,-0.1,-0.88941,6.7
TOI-178 c,0.037,5.62,-0.23,-0.87943,7.1
Kepler-80 d,0.0372,7.04,0.04,-0.76955,2
HATS-16 b,0.03744,1.86,-0.1,0.17319,9.5
TOI-1776 b,0.0378,4.13,-0.193,-0.05306,5.1
K2-199 b,0.0382,7.2,-0.01,-0.73283,5.04
HAT-P-54 b,0.04117,1.118,-0.127,-0.9017,3.9
HAT-P-16 b,0.0413,2.42,0.17,0.29447,2
Kepler-21 b,0.0427172,6.4,-0.03,0.715,3.03
Kepler-428 b,0.0433,1.02,0.09,-0.39,5
TOI-2992 b,0.0434,2.23,0.084,0.4456,4.6
HD 25463 c,0.0443,9.09,-0.018,0.47276,2.3
Kepler-18 b,0.0447,4.9,0.19,-0.031,10
TOI-1694 b,0.045,1.13,0.131,-0.41794,4.3
Kepler-20 b,0.04537,6.5,0.01,-0.14874,8.8
Kepler-4 b,0.0456,1.91,0.17,0.354,4.5
HATS-66 b,0.04714,2.34,-0.017,0.76716,2.17
HD 260655 c,0.04749,4.7,-0.43,-1.43997,5
HATS-12 b,0.04795,1.19,-0.1,0.86332,2.36
TOI-669 b,0.048,3.17,0.001,-0.06248,7.9
TOI-2981 b,0.048,1.46,-0.11,0.11594,4.5
HR 858 b,0.04888,2.44,0.025,0.36361,2
HD 86226 c,0.049,3.97,0.018,0.07188,4.6
L 98-59 d,0.0494,2.2,-0.46,-1.91364,4.94
TOI-1269 b,0.0496,2.53,-0.049,-0.21968,3.1
KOI-94 b,0.05119,10.1,0.0228,0.479,3.16
K2-182 b,0.05174,5.7,0.022,-0.41117,6.2
TOI-125 b,0.05186,2.57,-0.02,-0.28483,6.8
TOI-4137 b,0.05222,1.01,0.182,0.43933,2.1
HD 15337 b,0.05245,8.05,0.03,-0.32606,7.5
TOI-4438 b,0.0534,1.85,-0.19,-1.76802,5.1
K2-113 b,0.0558,1.97,0.18,0.0086,5.9
TOI-244 b,0.0559,4.2,-0.39,-1.64264,7
TOI-5232 b,0.05593,1.96,-0.104,0.71265,2.37
TOI-1184 b,0.056,2.63,0.017,-0.70115,5.3
TOI-1107 b,0.0561,1.89,-0.1,0.67117,2.6
TOI-2136 b,0.057,3.34,0.03,-1.88606,4.6
TOI-1753 b,0.059,5.95,0.026,-0.06956,5.9
HD 6061 b,0.06,3.82,-0.05,0.05538,2.4
TOI-1244 b,0.061,2.66,0.034,-0.62893,5.9
TOI-1246 c,0.061,3.39,0.168,-0.30103,6.3
TOI-1064 b,0.06152,4.30062,0.05,-0.62342,9.4
Kepler-68 b,0.0617,3.32,0.12,0.194,6.3
TOI-733 b,0.0618,3.98,-0.04,-0.08619,4.4
TOI-1333 b,0.0626,1.08,0.119,0.71349,2.33
TOI-776 b,0.0652,3.4,-0.2,-1.3098,7.8
BD-14 3065 b,0.0656,2.15,-0.34,1.06,2.24
TOI-1260 c,0.0657,3.45,-0.1,-0.88941,6.7
K2-199 c,0.0662,2.9,-0.01,-0.73283,5.04
Gliese 12 b,0.067,17.7,-0.29,-2.13077,7
HAT-P-2 b,0.0677,11.9,0.12,0.485,2.6
Kepler-433 b,0.0679,1.13,-0.01,0.88,2.67
pi Men c,0.06839,2.97,0.08,0.15957,2.98
HR 858 c,0.0687,2.9,0.025,0.36361,2
TOI-6038 A b,0.069,1.62,0.124,0.53275,3.65
HD 235088 b,0.071,2.58,0.105,-0.41229,3.4
TOI-1799 b,0.071,7.51,-0.064,-0.06198,5.1
L 98-59 e,0.0712,5.2,-0.46,-1.91364,4.94
EPIC 246851721 b,0.07229,3.1,0.141,0.52634,3.02
TOI-559 b,0.0723,5.74,-0.069,0.22737,6.8
TOI-1266 b,0.073,1.54,-0.109,-1.58021,4.6
TOI-5301 b,0.073,2.88,0.03,0.81624,2.43
TOI-1798.01,0.074,2.61,0.073,-0.41567,2.6
TOI-1736 b,0.074,4.9,0.138,0.25,4.9
K2-3 b,0.0747,3.11,-0.157,-1.23136,6.9
TOI-238 c,0.0749,1.83,-0.114,-0.47083,4.3
K2-180 b,0.0756,4.16,-0.578,-0.41341,7.5
LTT 3780 c,0.0757,3.24,0.06,-1.78252,3.1
HD 25463 b,0.076,2.87,-0.018,0.47276,2.3
TOI-480 b,0.077,4.91,0.164,0.46195,2.7
TOI-2134 b,0.078,2.607,0.12,-0.7167,3.8
