Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,84.9,85,85.96,86.2,86.20,86.3,86.35,86.5,86.5,86.5
tianjin,77.23,78.01,79.55,80.5,81.55,82.01,82.27,82.64,82.93,82.93
hebei,41.9,43.74,44.5,45.6,46.80,48.12,49.33,51.33,53.32,55.01
shanxi,45.11,45.99,48.05,49.68,51.26,52.56,53.79,55.03,5.21,57.34
neimenggu,51.71,53.4,55.50,56.62,57.74,58.71,59.51,60.3,61.19,62.02
liaoning,60.05,60.35,62.1,64.05,65.65,66.45,67.05,67.35,67.37,67.49
jilin,53.21,53.32,53.35,53.4,53.70,54.2,54.81,55.31,55.97,56.65
shanghai,88.60,88.6,89.3,89.3,89.3,89.6,89.6,87.6,87.9,87.7
jiangsu,54.3,55.6,60.58,61.9,63,64.11,65.21,66.52,67.2,68.76
zhejiang,57.6,57.9,61.62,62.3,63.20,64,64.87,65.8,67,68
anhui,40.5,42.1,43.01,44.8,46.5,47.86,49.15,50.50,51.99,53.49
fujian,53,55.1,57.10,58.1,59.60,60.77,61.80,62.60,63.60,64.8
jiangxi,41.36,43.18,44.06,45.7,47.51,48.87,50.22,51.62,53.1,54.6
shandong,47.6,48.32,49.70,50.95,52.43,53.75,55.01,57.01,59.02,60.58
henan,36.03,37.7,38.5,40.57,42.43,43.80,45.2,46.85,48.5,50.16
hubei,45.2,46,49.7,51.83,53.50,54.51,55.67,56.85,58.1,59.3
hunan,42.15,43.2,43.3,45.1,4.65,47.96,49.28,50.89,52.75,54.62
guangdong,63.37,63.4,66.18,66.5,67.4,67.76,68.00,68.71,69.2,69.85
guanxi,38.16,39.2,40,41.8,43.53,44.81,46.01,47.06,48.08,49.21
hainan,48,49.13,49.80,50.50,51.6,52.74,53.76,55.12,56.78,58.04
chongqing,49.99,51.59,53.02,55.02,56.98,58.34,59.6,60.94,62.6,64.8
sichuan,37.4,38.7,40.18,41.83,43.53,44.90,46.3,47.69,49.21,50.79
guizhou,29.11,29.89,33.81,34.96,36.41,37.83,40.01,42.01,44.15,46.02
yunnan,33,34,34.70,36.8,39.31,40.48,41.73,43.33,45.03,46.69
gansu,33.56,34.89,36.12,37.15,38.75,40.13,41.68,43.19,44.69,46.39
ningxia,44.98,46.1,47.9,49.82,50.67,52.01,53.61,55.23,56.29,53.07
xinjiang,39.64,39.85,43.01,43.53,43.98,44.47,46.07,47.23,48.35,57.98
